,workingday,weather,temperature,humidity,windspeed,season_Fall,season_Spring,season_Summer,season_Winter,count
10148,0,1,0.44,0.21,0.1343,False,False,False,True,134
14578,1,1,0.8,0.59,0.4627,False,False,True,False,292
3537,1,2,0.7,0.79,0.1642,False,True,False,False,284
3941,0,1,0.6,0.88,0.0896,False,True,False,False,20
15165,0,2,0.54,0.56,0.2239,True,False,False,False,92
4277,0,1,0.64,0.53,0.0,False,False,True,False,26
7494,0,1,0.48,0.36,0.2537,True,False,False,False,95
11889,1,2,0.64,0.73,0.20259243119266054,False,True,False,False,184
4319,0,2,0.66,0.6385647058823529,0.1642,False,False,True,False,167
11032,1,1,0.5,0.36,0.4478,False,True,False,False,276
14995,0,1,0.6,0.73,0.2836,False,False,True,False,172
8588,1,2,0.3,0.52,0.0896,False,False,False,True,177
5389,1,1,0.78,0.43,0.1045,False,False,True,False,128
5103,1,1,0.78,0.52,0.16999230769230772,False,False,True,False,204
16997,0,2,0.36,0.62,0.0,True,False,False,False,110
8554,1,1,0.32,0.57,0.3582,False,False,False,True,9
3000,1,1,0.52,0.68,0.20259243119266054,False,True,False,False,116
5145,0,1,0.7,0.84,0.194,False,False,True,False,39
1665,1,1,0.32,0.53,0.0,False,False,False,True,19
14382,1,1,0.74,0.66,0.194,False,False,True,False,229
15352,0,1,0.46,0.59,0.1343,True,False,False,False,215
6885,1,3,0.52,0.94,0.3284,True,False,False,False,130
16453,1,1,0.24,0.81,0.0,True,False,False,False,77
3623,0,2,0.66,0.47,0.1045,False,True,False,False,185
15878,0,3,0.42,0.94,0.3582,True,False,False,False,54
915,1,1,0.28793893129771,0.27,0.2985,False,False,False,True,80
16435,0,1,0.46,0.6582070707070706,0.0,True,False,False,False,269
11444,1,1,0.5,0.59,0.4478,False,True,False,False,35
16945,1,1,0.3,0.45,0.0,True,False,False,False,241
10045,1,1,0.4,0.28,0.1045,False,False,False,True,134
11560,1,1,0.64,0.65,0.1343,False,True,False,False,282
16864,1,3,0.46,0.94,0.2239,True,False,False,False,134
12391,1,2,0.54,0.56,0.2239,False,True,False,False,247
2281,0,2,0.36,0.93,0.1343,False,True,False,False,87
9989,0,1,0.22,0.44,0.3284,False,False,False,True,2
6866,1,1,0.62,0.57,0.2537,True,False,False,False,304
3916,1,1,0.56,0.94,0.1045,False,True,False,False,13
14178,0,1,0.64,0.65,0.0896,False,False,True,False,235
6834,1,2,0.5,0.51,0.2537,True,False,False,False,414
6246,1,2,0.62,0.94,0.1343,False,False,True,False,285
8815,0,1,0.34,0.42,0.1343,False,False,False,True,32
10192,1,3,0.28,0.5804627249357327,0.6567,False,False,False,True,375
7927,1,1,0.26,0.7,0.0896,True,False,False,False,73
11339,0,3,0.38,0.87,0.4478,False,True,False,False,36
7284,0,1,0.3,0.52,0.2985,True,False,False,False,8
10111,1,1,0.3,0.81,0.0,False,False,False,True,314
8592,1,1,0.3,0.56,0.1045,False,False,False,True,135
2771,0,1,0.533015873015873,0.51,0.3582,False,True,False,False,156
6937,1,1,0.5,0.45,0.2537,True,False,False,False,302
2874,1,1,0.5,0.45,0.4627,False,True,False,False,195
7377,1,1,0.4294206549118388,0.87,0.0,True,False,False,False,13
3251,1,1,0.54,0.68,0.20259243119266054,False,True,False,False,234
8706,1,1,0.16,0.43,0.5224,False,False,False,True,79
3673,1,1,0.64,0.69,0.0896,False,True,False,False,60
13312,1,1,0.72,0.54,0.0,False,False,True,False,299
5086,1,2,0.7,0.74,0.194,False,False,True,False,286
6341,1,1,0.66,0.82,0.0896,True,False,False,False,383
4997,1,1,0.7,0.79,0.1642,False,False,True,False,4
469,1,1,0.28793893129771,0.25,0.5224,False,False,False,True,62
14284,1,2,0.6999518072289157,0.7,0.0,False,False,True,False,412
4543,1,1,0.74,0.58,0.194,False,False,True,False,26
4563,1,1,0.66,0.61,0.2537,False,False,True,False,25
16038,1,1,0.26,0.6,0.1343,True,False,False,False,53
4786,0,1,0.84,0.49,0.2537,False,False,True,False,109
14652,1,1,0.78,0.59,0.3284,False,False,True,False,772
8548,1,1,0.32,0.87,0.0896,False,False,False,True,32
6568,1,1,0.4,0.66,0.194,True,False,False,False,114
4868,1,1,0.84,0.39,0.3881,False,False,True,False,546
16275,1,2,0.32,0.66,0.1045,True,False,False,False,224
486,0,1,0.02,0.44,0.3284,False,False,False,True,27
6469,0,3,0.34,0.87,0.2836,True,False,False,False,9
14884,1,1,0.58,0.68,0.1343,False,False,True,False,299
13935,1,1,0.74,0.66,0.194,False,False,True,False,500
6514,1,2,0.4,0.87,0.1720665036674817,True,False,False,False,27
4249,1,1,0.66,0.5,0.0,False,False,True,False,126
2688,1,2,0.6,0.83,0.194,False,True,False,False,148
16700,1,1,0.6,0.56,0.0,True,False,False,False,268
1503,1,1,0.26,0.5804627249357327,0.0896,False,False,False,True,10
738,1,1,0.18,0.43,0.2537,False,False,False,True,1
7503,1,2,0.44,0.72,0.2239,True,False,False,False,114
2033,1,2,0.36,0.6218409090909092,0.2985,False,True,False,False,80
12987,0,1,0.64,0.89,0.1642,False,False,True,False,194
771,1,2,0.28,0.45,0.1642,False,False,False,True,91
8838,1,1,0.24,0.56,0.1343,False,False,False,True,5
6553,1,1,0.64,0.47,0.2836,True,False,False,False,182
5836,0,2,0.68,0.79,0.2836,False,False,True,False,253
2931,0,1,0.42,0.6218409090909092,0.1045,False,True,False,False,58
9011,0,1,0.1,0.58,0.1642,False,False,False,True,78
9764,1,2,0.32,0.87,0.1642,False,False,False,True,258
17053,1,1,0.38,0.94,0.1720665036674817,True,False,False,False,662
2495,1,1,0.56,0.37,0.2836,False,True,False,False,151
4529,1,1,0.9,0.42,0.3582,False,False,True,False,148
11362,1,2,0.36,0.62,0.3881,False,True,False,False,112
5314,0,2,0.66,0.89,0.2836,False,False,True,False,41
13430,1,2,0.76,0.62,0.1045,False,False,True,False,516
16894,1,1,0.32,0.53,0.2239,True,False,False,False,601
16671,0,2,0.3,0.87,0.0,True,False,False,False,293
9072,1,1,0.18,0.47,0.2537,False,False,False,True,78
13564,1,1,0.84,0.53,0.16999230769230772,False,False,True,False,339
9640,0,2,0.28793893129771,0.61,0.2985,False,False,False,True,124
7426,0,1,0.32,0.57,0.3284,True,False,False,False,19
5498,1,1,0.68,0.79,0.1642,False,False,True,False,40
16359,1,2,0.36,0.66,0.2537,True,False,False,False,278
5278,1,1,0.72,0.42,0.2239,False,False,True,False,287
2606,0,1,0.52,0.83,0.4179,False,True,False,False,291
1409,1,2,0.2,0.55,0.194,False,False,False,True,12
1403,1,1,0.24,0.35,0.3284,False,False,False,True,167
7269,1,2,0.48,0.55,0.4925,True,False,False,False,197
16835,0,3,0.4,0.94,0.1045,True,False,False,False,6
1234,1,2,0.38,0.54,0.2985,False,False,False,True,88
13368,1,1,0.66,0.78,0.1045,False,False,True,False,50
10175,1,1,0.24,0.48,0.1343,False,False,False,True,6
4271,1,1,0.7,0.45,0.194,False,False,True,False,218
15928,1,3,0.36,0.57,0.1045,True,False,False,False,331
11296,1,1,0.56,0.68,0.1343,False,True,False,False,287
15442,1,1,0.6,0.6582070707070706,0.1642,True,False,False,False,319
12315,0,1,0.54,0.64,0.1642,False,True,False,False,210
15453,1,1,0.42,0.5,0.1343,True,False,False,False,11
16978,0,2,0.26,0.75,0.0,True,False,False,False,3
11104,1,1,0.42,0.35,0.1343,False,True,False,False,187
828,0,1,0.24,0.65,0.0,False,False,False,True,30
2136,0,2,0.42,0.44,0.2239,False,True,False,False,45
10497,0,2,0.44,0.88,0.1343,False,False,False,True,503
15391,0,2,0.42,0.63,0.1642,True,False,False,False,341
14321,1,2,0.7,0.61,0.0,False,False,True,False,251
11049,1,1,0.52,0.6218409090909092,0.1642,False,True,False,False,283
6856,1,1,0.46,0.82,0.1720665036674817,True,False,False,False,109
11304,0,1,0.5,0.82,0.2537,False,True,False,False,1
14032,0,1,0.72,0.51,0.0896,False,False,True,False,220
2267,0,2,0.32,0.93,0.1642,False,True,False,False,54
13191,0,1,0.76,0.7,0.0896,False,False,True,False,285
6735,1,2,0.54,1.0,0.1045,True,False,False,False,17
7432,0,1,0.28,0.45,0.2537,True,False,False,False,121
49,1,1,0.16,0.47,0.3881,False,False,False,True,1
2337,1,2,0.54,0.68,0.2239,False,True,False,False,189
14784,1,1,0.52,0.83,0.0,False,False,True,False,57
6620,0,1,0.52,0.77,0.0,True,False,False,False,337
2165,1,2,0.54,0.73,0.3284,False,True,False,False,5
7708,1,3,0.4294206549118388,0.94,0.1045,True,False,False,False,111
2392,1,1,0.56,0.35,0.0896,False,True,False,False,137
13932,1,2,0.8,0.55,0.2836,False,False,True,False,858
1705,1,2,0.44,0.54,0.2985,False,False,False,True,253
8266,1,1,0.48,0.77,0.1045,True,False,False,False,23
12781,1,1,0.86,0.41,0.194,False,False,True,False,640
16244,1,1,0.36,0.43,0.1343,True,False,False,False,181
17354,0,1,0.2,0.51,0.2239,False,False,False,True,49
6133,0,1,0.44,0.82,0.194,False,False,True,False,36
9255,1,2,0.38,0.71,0.0,False,False,False,True,173
15,0,2,0.44,0.77,0.2985,False,False,False,True,110
16176,0,1,0.52,0.45,0.1343,True,False,False,False,405
3986,1,1,0.66,0.83,0.1642,False,True,False,False,26
15251,1,3,0.62,0.88,0.1343,True,False,False,False,374
6544,1,1,0.44,0.82,0.1045,True,False,False,False,117
16295,1,1,0.36,0.46,0.194,True,False,False,False,580
4971,0,1,0.6999518072289157,0.62,0.0896,False,False,True,False,79
11652,0,2,0.68,0.65,0.2985,False,True,False,False,502
4429,1,2,0.74,0.74,0.2537,False,False,True,False,165
12911,1,1,0.6,0.4,0.2537,False,False,True,False,11
482,0,2,0.04,0.5804627249357327,0.2836,False,False,False,True,7
10445,1,2,0.4,0.87,0.2239,False,False,False,True,562
16110,1,1,0.4294206549118388,0.49,0.3284,True,False,False,False,55
13729,1,1,0.64,0.89,0.1642,False,False,True,False,194
1845,1,1,0.5,0.42,0.2239,False,True,False,False,134
2930,0,1,0.42,0.82,0.1343,False,True,False,False,86
848,1,2,0.32,0.7,0.22123350253807106,False,False,False,True,128
15487,1,1,0.54,0.39,0.4627,True,False,False,False,387
1477,0,3,0.24,0.93,0.6119,False,False,False,True,7
3594,1,1,0.72,0.26,0.3284,False,True,False,False,349
6337,1,1,0.72,0.62,0.1343,True,False,False,False,209
3156,1,1,0.62,0.65,0.0896,False,True,False,False,112
17102,1,2,0.3,0.7,0.0,True,False,False,False,317
3657,1,1,0.62,0.78,0.1045,False,True,False,False,299
6223,1,2,0.6,0.6385647058823529,0.0896,False,False,True,False,200
14973,1,1,0.52,0.72,0.0,False,False,True,False,14
13172,0,1,0.6999518072289157,0.56,0.1045,False,False,True,False,124
6108,0,1,0.46,0.82,0.0896,False,False,True,False,79
10408,1,1,0.64,0.5804627249357327,0.1642,False,False,False,True,472
7547,1,2,0.46,0.6582070707070706,0.1045,True,False,False,False,10
13573,1,1,0.76,0.62,0.3284,False,False,True,False,877
9191,1,2,0.26,1.0,0.2836,False,False,False,True,120
6226,1,1,0.6999518072289157,0.94,0.1045,False,False,True,False,41
8709,1,1,0.14,0.26,0.4627,False,False,False,True,245
6262,1,3,0.62,0.94,0.1045,True,False,False,False,29
12327,0,1,0.62,0.35,0.20259243119266054,False,True,False,False,399
14186,0,2,0.62,0.69,0.1343,False,False,True,False,41
1535,1,2,0.24,0.87,0.1343,False,False,False,True,249
5329,0,3,0.6,0.83,0.0,False,False,True,False,27
3620,0,2,0.74,0.3,0.1642,False,True,False,False,341
9077,1,1,0.12,0.54,0.1045,False,False,False,True,4
6109,0,1,0.46,0.72,0.1343,False,False,True,False,28
1800,0,1,0.4,0.35,0.2836,False,False,False,True,226
41,0,2,0.36,0.46,0.3284,False,False,False,True,53
13878,1,1,0.76,0.66,0.1343,False,False,True,False,260
1831,1,1,0.42,1.0,0.1343,False,True,False,False,19
16778,1,2,0.24,0.6,0.1343,True,False,False,False,191
4470,0,1,0.66,0.69,0.0896,False,False,True,False,5
14160,0,1,0.6,0.78,0.2537,False,False,True,False,9
13871,1,2,0.72,0.74,0.1343,False,False,True,False,11
11545,1,3,0.52,0.77,0.1045,False,True,False,False,26
3434,0,1,0.58,0.88,0.1343,False,True,False,False,94
7026,1,1,0.48,0.55,0.2239,True,False,False,False,223
7968,0,1,0.38,0.46,0.1720665036674817,True,False,False,False,305
414,1,2,0.24,0.92,0.1045,False,False,False,True,90
330,0,1,0.14,0.63,0.1045,False,False,False,True,3
11280,1,1,0.42,0.94,0.0,False,True,False,False,25
4675,1,1,0.84,0.49,0.3284,False,False,True,False,545
8439,1,1,0.38,0.5804627249357327,0.2239,False,False,False,True,92
3370,1,1,0.533015873015873,0.69,0.2239,False,True,False,False,531
8032,1,2,0.46,0.94,0.194,True,False,False,False,414
11728,1,2,0.64,0.65,0.2836,False,True,False,False,223
8355,1,2,0.36,0.6582070707070706,0.1642,True,False,False,False,251
4332,0,2,0.76,0.55,0.0896,False,False,True,False,280
9977,0,1,0.3,0.28,0.5821,False,False,False,True,133
4131,0,1,0.64,0.53,0.1045,False,False,True,False,90
531,1,1,0.02,0.48,0.0,False,False,False,True,84
10485,0,1,0.46,0.88,0.194,False,False,False,True,107
10915,1,1,0.52,0.23,0.4179,False,True,False,False,131
10809,0,1,0.48,0.67,0.0,False,True,False,False,621
10828,0,2,0.36,0.71,0.1343,False,True,False,False,84
11182,0,1,0.58,0.68,0.194,False,True,False,False,8
2747,1,1,0.54,0.39,0.3284,False,True,False,False,230
10612,1,2,0.5,0.93,0.1343,False,True,False,False,346
5377,1,1,0.66,0.65,0.1343,False,False,True,False,77
15823,1,2,0.58,0.73,0.194,True,False,False,False,392
2295,0,2,0.42,0.88,0.1343,False,True,False,False,230
16064,1,2,0.28,0.61,0.2537,True,False,False,False,92
6996,1,1,0.4,0.82,0.0896,True,False,False,False,4
15659,1,3,0.62,0.69,0.3582,True,False,False,False,565
4237,1,1,0.74,0.37,0.1343,False,False,True,False,169
15225,1,2,0.6,0.43,0.1045,True,False,False,False,244
15621,1,1,0.4294206549118388,0.82,0.194,True,False,False,False,14
11134,0,1,0.36,0.66,0.0896,False,True,False,False,32
9350,1,1,0.26,0.35,0.3881,False,False,False,True,134
2090,1,1,0.3,0.61,0.0896,False,True,False,False,53
13486,0,3,0.6,0.6385647058823529,0.2537,False,False,True,False,25
15399,0,3,0.4,0.71,0.2239,True,False,False,False,227
4172,1,1,0.74,0.51,0.0,False,False,True,False,591
10977,0,1,0.5,0.22,0.194,False,True,False,False,643
4235,1,1,0.7,0.42,0.2239,False,False,True,False,260
3038,1,1,0.6,0.6218409090909092,0.0,False,True,False,False,226
8010,1,2,0.36,0.87,0.0896,True,False,False,False,87
14694,0,1,0.66,0.47,0.2537,False,False,True,False,585
16436,0,1,0.48,0.29,0.0,True,False,False,False,220
13179,0,1,0.84,0.53,0.1343,False,False,True,False,130
1052,1,1,0.46,0.28,0.4179,False,False,False,True,82
16283,1,2,0.3,0.65,0.0896,True,False,False,False,36
10516,1,1,0.46,0.88,0.194,False,False,False,True,354
15286,1,2,0.62,0.88,0.0,True,False,False,False,11
10301,0,1,0.22,0.44,0.2537,False,False,False,True,40
6470,0,2,0.34,0.87,0.2537,True,False,False,False,7
9353,1,1,0.32,0.24,0.194,False,False,False,True,138
17151,0,1,0.26,0.5804627249357327,0.3284,False,False,False,True,118
3711,1,1,0.9,0.42,0.0,False,True,False,False,136
1968,0,1,0.28,0.36,0.1642,False,True,False,False,57
16424,0,1,0.24,0.75,0.0896,True,False,False,False,18
902,1,3,0.14,0.8,0.1343,False,False,False,True,3
9565,1,2,0.28,0.65,0.2836,False,False,False,True,138
2656,1,1,0.72,0.54,0.2239,False,True,False,False,146
11698,1,2,0.62,0.53,0.2985,False,True,False,False,262
3626,0,1,0.64,0.57,0.0896,False,True,False,False,113
6428,1,1,0.6,0.64,0.0,True,False,False,False,168
8375,1,2,0.44,0.54,0.0,True,False,False,False,154
9389,1,1,0.44,0.44,0.194,False,False,False,True,3
15757,1,1,0.62,0.53,0.0896,True,False,False,False,826
574,1,3,0.2,0.86,0.2836,False,False,False,True,1
12815,0,2,0.64,0.83,0.1642,False,False,True,False,19
647,0,1,0.14,0.86,0.0,False,False,False,True,3
7343,1,1,0.4294206549118388,0.37,0.1642,True,False,False,False,145
742,1,1,0.14,0.5,0.3582,False,False,False,True,188
13576,1,1,0.74,0.66,0.2239,False,False,True,False,378
12538,1,1,0.8,0.41,0.3582,False,True,False,False,259
5216,1,1,0.6999518072289157,0.61,0.0,False,False,True,False,119
4133,0,1,0.6,0.6385647058823529,0.1045,False,False,True,False,34
17157,0,1,0.3,0.39,0.4478,False,False,False,True,147
14806,1,1,0.54,0.77,0.0,False,False,True,False,14
13733,1,1,0.72,0.6385647058823529,0.0,False,False,True,False,227
6243,1,2,0.66,0.78,0.0896,False,False,True,False,563
17155,0,1,0.32,0.36,0.4627,False,False,False,True,161
5643,0,1,0.78,0.43,0.4179,False,False,True,False,447
16820,0,1,0.42,0.82,0.1642,True,False,False,False,541
2612,0,1,0.58,0.78,0.194,False,True,False,False,376
6355,1,3,0.64,0.89,0.194,True,False,False,False,193
15805,1,1,0.56,0.83,0.1045,True,False,False,False,809
7321,0,1,0.46,0.55,0.2239,True,False,False,False,347
11348,1,3,0.34,0.87,0.3582,False,True,False,False,2
14848,0,1,0.56,0.52,0.1045,False,False,True,False,296
9230,1,1,0.32,0.53,0.1343,False,False,False,True,193
6434,1,1,0.62,0.53,0.2239,True,False,False,False,360
8211,1,1,0.32,0.49,0.1642,True,False,False,False,267
10453,1,3,0.48,0.77,0.22123350253807106,False,False,False,True,129
15232,1,2,0.54,0.73,0.1720665036674817,True,False,False,False,218
1435,0,2,0.3,0.87,0.194,False,False,False,True,20
7248,1,1,0.52,0.52,0.1642,True,False,False,False,162
10523,1,2,0.64,0.57,0.194,False,False,False,True,260
10204,1,1,0.18,0.51,0.1045,False,False,False,True,102
3560,1,1,0.66,0.39,0.1343,False,True,False,False,113
9097,1,1,0.26,0.48,0.3284,False,False,False,True,56
15483,1,1,0.42,0.71,0.1720665036674817,True,False,False,False,745
14971,1,1,0.54,0.68,0.0,False,False,True,False,66
15040,0,2,0.52,0.48,0.1045,True,False,False,False,196
8015,1,2,0.46,0.72,0.0896,True,False,False,False,148
16267,1,2,0.38,0.54,0.1045,True,False,False,False,217
11609,1,1,0.62,0.78,0.0,False,True,False,False,246
1545,1,2,0.34,0.76,0.2537,False,False,False,True,188
11361,1,3,0.36,0.62,0.4478,False,True,False,False,114
8999,0,1,0.16,0.37,0.1045,False,False,False,True,95
15567,1,2,0.52,0.72,0.3881,True,False,False,False,256
6649,0,1,0.68,0.51,0.1642,True,False,False,False,407
15841,0,2,0.5,0.82,0.194,True,False,False,False,31
13541,1,2,0.78,0.6385647058823529,0.0,False,False,True,False,200
15246,1,3,0.58,0.94,0.1343,True,False,False,False,99
2550,1,2,0.44,0.54,0.4478,False,True,False,False,6
2262,0,3,0.3,1.0,0.2537,False,True,False,False,14
15617,1,1,0.46,0.88,0.2537,True,False,False,False,215
9478,0,3,0.24,0.93,0.194,False,False,False,True,77
5323,0,1,0.76,0.62,0.1343,False,False,True,False,329
2395,1,1,0.6,0.28,0.0,False,True,False,False,388
5166,1,1,0.6999518072289157,0.89,0.1045,False,False,True,False,10
5445,1,3,0.62,0.73,0.4627,False,False,True,False,165
16073,1,2,0.28,0.56,0.2985,True,False,False,False,178
3872,1,1,0.5,0.63,0.2537,False,True,False,False,121
4252,1,1,0.62,0.69,0.0,False,False,True,False,13
14752,1,1,0.56,0.6,0.16999230769230772,False,False,True,False,310
10959,1,1,0.48,0.23,0.20259243119266054,False,True,False,False,412
7759,0,1,0.36,0.71,0.1642,True,False,False,False,22
1890,1,2,0.32,0.7,0.2239,False,True,False,False,101
15038,0,1,0.52,0.42,0.1642,True,False,False,False,413
1352,1,1,0.34,0.34,0.0,False,False,False,True,64
9874,1,2,0.26,0.7,0.2836,False,False,False,True,86
558,1,2,0.24,0.6,0.1343,False,False,False,True,61
3617,0,2,0.74,0.27,0.4179,False,True,False,False,404
10909,1,1,0.66,0.41,0.2985,False,True,False,False,744
2257,1,2,0.3,0.93,0.2985,False,True,False,False,51
7975,0,1,0.3,0.6582070707070706,0.1343,True,False,False,False,85
8284,1,2,0.32,0.45,0.194,True,False,False,False,152
4373,1,1,0.7,0.79,0.0,False,False,True,False,6
2782,0,1,0.44,0.62,0.1343,False,True,False,False,224
4916,1,1,0.84,0.56,0.2239,False,False,True,False,483
4541,1,1,0.74,0.58,0.194,False,False,True,False,4
4339,0,1,0.8,0.46,0.0,False,False,True,False,436
8656,0,1,0.34,0.76,0.22123350253807106,False,False,False,True,138
16513,0,1,0.26,0.41,0.0,True,False,False,False,127
1210,1,1,0.26,0.5804627249357327,0.0896,False,False,False,True,67
12365,1,1,0.64,0.6218409090909092,0.4627,False,True,False,False,187
5782,0,2,0.66,0.69,0.2537,False,False,True,False,201
2432,0,3,0.4,0.82,0.3284,False,True,False,False,10
9687,1,1,0.34,0.23,0.1045,False,False,False,True,135
11861,1,3,0.54,0.88,0.2537,False,True,False,False,59
15089,1,1,0.6,0.56,0.2836,True,False,False,False,188
8599,1,1,0.24,0.7,0.1045,False,False,False,True,12
7376,1,1,0.36,0.81,0.0,True,False,False,False,48
12247,1,1,0.7,0.54,0.0,False,True,False,False,253
14620,1,3,0.66,0.94,0.1343,False,False,True,False,123
728,1,1,0.36,0.53,0.5224,False,False,False,True,190
16895,1,1,0.32,0.53,0.2239,True,False,False,False,546
10026,1,1,0.5,0.29,0.3881,False,False,False,True,334
2924,1,3,0.54,0.52,0.3582,False,True,False,False,470
542,1,1,0.14,0.59,0.194,False,False,False,True,153
6982,0,1,0.52,0.55,0.194,True,False,False,False,415
11227,1,1,0.54,0.32,0.1642,False,True,False,False,38
9143,0,1,0.28793893129771,0.74,0.3284,False,False,False,True,69
9832,0,2,0.3,0.49,0.194,False,False,False,True,253
15913,1,2,0.4,0.58,0.1642,True,False,False,False,584
778,1,2,0.24,0.7,0.1642,False,False,False,True,43
11473,0,1,0.34,0.49,0.194,False,True,False,False,28
3689,1,2,0.82,0.41,0.3284,False,True,False,False,183
11798,1,1,0.64,0.23,0.2537,False,True,False,False,503
14438,1,1,0.7,0.6385647058823529,0.194,False,False,True,False,643
1059,1,1,0.36,0.46,0.194,False,False,False,True,92
3114,0,2,0.54,0.94,0.194,False,True,False,False,295
16813,0,2,0.38,0.94,0.0896,True,False,False,False,111
6933,1,1,0.5,0.45,0.2985,True,False,False,False,240
13900,1,2,0.7,0.74,0.1343,False,False,True,False,327
16823,0,1,0.4,0.6582070707070706,0.1045,True,False,False,False,304
5036,1,2,0.86,0.34,0.194,False,False,True,False,556
15586,1,1,0.54,0.41,0.3284,True,False,False,False,346
1651,1,1,0.32,0.53,0.22123350253807106,False,False,False,True,140
836,1,1,0.18,0.86,0.0,False,False,False,True,95
2960,0,2,0.44,0.6218409090909092,0.0,False,True,False,False,6
13314,1,2,0.72,0.45,0.1343,False,False,True,False,212
1976,1,1,0.18,0.6218409090909092,0.194,False,True,False,False,8
13039,1,1,0.84,0.32,0.194,False,False,True,False,257
13157,0,1,0.92,0.37,0.2239,False,False,True,False,325
15840,0,2,0.5,0.82,0.194,True,False,False,False,9
14471,1,1,0.64,0.89,0.1343,False,False,True,False,7
14917,1,2,0.6,0.88,0.1642,False,False,True,False,281
14182,0,2,0.62,0.6385647058823529,0.1642,False,False,True,False,55
2447,0,2,0.44,0.94,0.0,False,True,False,False,14
1941,0,1,0.34,0.23,0.194,False,True,False,False,248
8870,1,1,0.42,0.38,0.2985,False,False,False,True,101
144,1,1,0.2,0.69,0.1343,False,False,False,True,84
14258,1,1,0.62,0.78,0.0,False,False,True,False,553
15634,1,2,0.6,0.6,0.194,True,False,False,False,353
10270,1,2,0.58,0.49,0.4627,False,False,False,True,54
14821,1,1,0.72,0.45,0.2239,False,False,True,False,808
9635,0,3,0.22,0.93,0.1045,False,False,False,True,166
8952,1,1,0.24,0.41,0.2836,False,False,False,True,102
2798,0,2,0.48,0.77,0.1045,False,True,False,False,281
1349,1,1,0.3,0.39,0.1343,False,False,False,True,86
13896,1,1,0.7,0.79,0.1045,False,False,True,False,36
2498,1,1,0.5,0.55,0.2239,False,True,False,False,25
11821,0,2,0.66,0.31,0.194,False,True,False,False,546
3512,1,1,0.68,0.6218409090909092,0.0896,False,True,False,False,109
16934,1,1,0.28,0.52,0.2537,True,False,False,False,325
14424,1,1,0.6,0.6385647058823529,0.194,False,False,True,False,40
11932,1,1,0.54,0.52,0.4179,False,True,False,False,346
9457,1,1,0.26,0.7,0.1045,False,False,False,True,77
15902,1,2,0.3,0.87,0.1343,True,False,False,False,337
676,1,2,0.18,0.55,0.1045,False,False,False,True,68
5500,1,2,0.7,0.65,0.1045,False,False,True,False,8
10766,1,1,0.52,0.38,0.3881,False,True,False,False,703
473,1,1,0.12,0.3,0.2537,False,False,False,True,120
12012,0,1,0.72,0.45,0.3284,False,True,False,False,549
8923,1,1,0.46,0.67,0.194,False,False,False,True,281
11540,1,2,0.5,0.63,0.1343,False,True,False,False,21
16491,0,1,0.24,0.44,0.194,True,False,False,False,75
3779,0,1,0.74,0.62,0.1343,False,True,False,False,230
5132,0,2,0.72,0.79,0.4478,False,False,True,False,211
1854,1,3,0.36,0.71,0.2239,False,True,False,False,11
9657,0,1,0.08,0.53,0.2537,False,False,False,True,26
16384,1,2,0.4,0.66,0.0896,True,False,False,False,176
7764,1,1,0.28,0.75,0.1045,True,False,False,False,2
5601,1,1,0.64,0.83,0.0,False,False,True,False,266
15951,1,1,0.32,0.57,0.1045,True,False,False,False,687
13753,1,1,0.64,0.78,0.1343,False,False,True,False,185
11061,1,1,0.34,0.39,0.2836,False,True,False,False,12
14310,1,2,0.6999518072289157,0.48,0.1045,False,False,True,False,281
6141,0,1,0.52,0.68,0.2239,False,False,True,False,317
8048,1,1,0.44,1.0,0.194,True,False,False,False,33
11715,1,2,0.54,0.73,0.2985,False,True,False,False,641
15868,0,2,0.5,0.6582070707070706,0.4179,True,False,False,False,330
